district,farm_size_acres,variety,soil_type,irrigation_type,seasonal_rainfall_mm,fertilizer_kg_per_acre,previous_yield_kg_per_acre,pest_disease_level,yield_kg_per_acre
Anuradhapura,0.633,OPV_Local,Loam,Rainfed,858.5,165.2,550.8,2,943
Anuradhapura,1.925,OPV_Local,Loam,Rainfed,873.7,201.9,968.1,1,1140.4
Anuradhapura,1.758,OPV_Local,Sandy,Canal,222.8,128.6,817.9,3,466.3
Anuradhapura,0.717,Hybrid_A,Loam,Rainfed,928.5,115.5,2043.5,2,1554.6
Anuradhapura,2.687,Hybrid_A,Sandy,Rainfed,998.4,137.9,0,3,1048.3
Anuradhapura,0.714,Hybrid_A,Clay,Tube well,935.1,117.7,1683,3,1130.6
Anuradhapura,1.636,Hybrid_B,Loam,Tube well,772.6,42.4,1871,1,1620.6
Anuradhapura,0.445,OPV_Local,Clay,Rainfed,378.2,127.6,300,1,651.9
Anuradhapura,1.584,OPV_Local,Loam,Tube well,347,71.9,1066,2,668
Anuradhapura,2.257,Hybrid_A,Clay,Tube well,380.2,94.1,2360.1,3,1098.6
Anuradhapura,2.603,Hybrid_B,Loam,Rainfed,348.7,104.8,2034.4,2,979
Anuradhapura,0.651,Hybrid_A,Loam,Rainfed,911.2,51,1973.1,0,1711.7
Anuradhapura,0.42,Hybrid_A,Loam,Tube well,1003.4,144.9,1601.5,3,1424.9
Anuradhapura,0.988,OPV_Local,Loam,Tank,736.5,174.9,1000.8,1,1352.7
Anuradhapura,1.1,OPV_Local,Loam,Tube well,421.7,215.6,915.2,3,606.9
Anuradhapura,2.464,Hybrid_B,Sandy,Tank,1050.2,219.7,1987.1,2,1311.7
Anuradhapura,1.291,Hybrid_A,Sandy,Tank,353.9,88,1914.1,0,1527.5
Anuradhapura,2.716,OPV_Local,Sandy,Tank,827,155.4,880.3,1,902.4
Anuradhapura,4.643,Hybrid_A,Loam,Tube well,471.6,50.7,1780,1,1676.3
Anuradhapura,2.403,OPV_Local,Clay,Tank,748.6,178,0,2,1038.4
Anuradhapura,0.991,Hybrid_B,Sandy,Canal,823.1,153.4,1424.6,3,1197.8
Anuradhapura,1.711,OPV_Local,Loam,Canal,858.7,84.2,1018.4,3,840.9
Anuradhapura,3.219,Hybrid_B,Clay,Canal,413.2,45.1,1477.8,3,903.5
Anuradhapura,4.432,OPV_Local,Clay,Canal,476.8,155.2,1076,3,702.2
Anuradhapura,0.824,OPV_Local,Clay,Rainfed,330.4,105.9,1063.2,0,691.5
Anuradhapura,0.44,OPV_Local,Loam,Tube well,911.3,170.7,944.7,3,734.5
Anuradhapura,4.226,OPV_Local,Loam,Tank,865.8,86.3,1471,2,1067
Anuradhapura,0.473,OPV_Local,Loam,Rainfed,370.4,118.6,751,2,657.6
Anuradhapura,1.024,OPV_Local,Sandy,Rainfed,944,130.6,1000.6,2,605.1
Anuradhapura,0.598,OPV_Local,Loam,Rainfed,815.4,205.1,0,2,819
Anuradhapura,1.398,OPV_Local,Loam,Tank,448.1,74.8,0,2,703.3
Anuradhapura,4.003,Hybrid_A,Loam,Rainfed,360.9,82.4,1889.2,2,976.2
Anuradhapura,0.683,OPV_Local,Sandy,Canal,925,204.6,669.4,2,813.7
Anuradhapura,1.486,OPV_Local,Loam,Rainfed,859.3,99.7,0,1,1015.5
Anuradhapura,3.141,Hybrid_B,Loam,Tank,421.2,138.7,0,3,1041.3
Anuradhapura,0.838,OPV_Local,Clay,Tank,301.8,51,883.4,2,517.5
Anuradhapura,0.338,Hybrid_B,Loam,Tank,778.8,72.1,1838.9,1,1717.6
Anuradhapura,1.388,OPV_Local,Loam,Canal,379.6,67,1124,3,513.6
Anuradhapura,2.503,OPV_Local,Loam,Rainfed,964,105.3,1318.1,2,936.2
Anuradhapura,1.459,OPV_Local,Clay,Rainfed,818.6,183.8,1417.5,2,1015.5
Anuradhapura,1.737,OPV_Local,Sandy,Rainfed,391.3,115.9,728.7,2,669.1
Anuradhapura,1.012,OPV_Local,Clay,Canal,846.3,80.4,300,2,850.4
Anuradhapura,0.621,OPV_Local,Loam,Tube well,749.5,92,1090.6,3,723.4
Anuradhapura,1.109,OPV_Local,Loam,Rainfed,462.2,143.1,1245.3,2,827.9
Anuradhapura,0.69,OPV_Local,Loam,Tank,777,113.2,0,2,943.3
Anuradhapura,0.745,OPV_Local,Sandy,Rainfed,912.5,140.7,0,3,587.9
Anuradhapura,1.777,Hybrid_A,Loam,Tank,982.8,98.8,1838.7,3,1397.4
Anuradhapura,1.235,Hybrid_A,Loam,Tube well,909.9,71.5,1627.1,0,2079.3
Anuradhapura,1.337,OPV_Local,Sandy,Canal,772.5,150.2,953.6,3,614.9
Anuradhapura,0.655,Hybrid_A,Loam,Tank,886.4,62.5,2005.2,2,1543
Anuradhapura,4.48,OPV_Local,Clay,Canal,306,128.1,0,2,571.8
Anuradhapura,1.114,OPV_Local,Sandy,Rainfed,936.7,139,0,3,625.4
Anuradhapura,0.32,Hybrid_B,Loam,Rainfed,420.4,220,1263.3,2,969.7
Anuradhapura,2.989,OPV_Local,Loam,Tank,353.8,113.3,1006.8,2,845.9
Anuradhapura,1.2,OPV_Local,Sandy,Tank,764,126,1712.4,3,747.5
Anuradhapura,8.044,OPV_Local,Sandy,Canal,673.5,138.9,790.7,1,1139.4
Anuradhapura,0.728,OPV_Local,Loam,Tube well,350.9,189.9,1036,2,862.8
Anuradhapura,3.523,OPV_Local,Loam,Tube well,1000.5,79.5,587.9,2,903.1
Anuradhapura,0.58,OPV_Local,Clay,Tank,789.6,128,933.7,2,822.3
Anuradhapura,0.315,OPV_Local,Loam,Canal,402.3,147.5,725.4,3,522.5
Anuradhapura,6.693,OPV_Local,Loam,Tank,854.1,100.8,696.4,2,825.5
Anuradhapura,1.862,OPV_Local,Clay,Tank,840.3,162.2,503.4,0,1063.9
