district,province,agro_climatic_zone,season,farm_size_acres,variety,soil_type,irrigation_type,seasonal_rainfall_mm,avg_temperature_c,avg_relative_humidity_pct,fertilizer_kg_per_acre,previous_yield_kg_per_acre,pest_disease_level,planting_density_plants_per_acre,seed_rate_kg_per_acre,soil_ph,soil_organic_matter_pct,yield_kg_per_acre
Monaragala,Uva,Dry,Yala,3.400252174732022,Hybrid_B,Sandy,Tank,1068.83564041364,28.936630736878058,76.25536026151579,59.80481075812583,2564.393503500492,None,9017,6.3953917308764225,5.623786975369136,1.506398729531319,3580.2932792413703
Monaragala,Uva,Dry,Maha,2.1985349659655102,Hybrid_A,Clay,Tank,980.2358006044598,29.63310710765184,66.09403853546618,78.26535640360478,2507.731750234102,Low,8537,7.838122726547663,7.233525183029022,1.890551942683446,3617.6396820195046
Anuradhapura,North Central,Dry,Yala,0.6382232535464909,Hybrid_A,Sandy,Tank,943.3094718912072,30.386159895994492,74.02820968713982,67.4557377874587,2693.536447852499,Low,7469,7.708171370765821,6.192712553068096,2.639985558353241,3594.4970355978053
Anuradhapura,North Central,Dry,Yala,0.3,Hybrid_A,Clay,Canal,1126.8198949491093,30.61753614293944,67.96469486066417,63.197327731273276,2959.130641189497,None,9677,7.972908338370181,6.3164534605012825,1.1255655181957802,3930.908392575245
Ampara,Eastern,Dry,Maha,2.243325825232993,OPV_Local,Sandy,Tank,1438.3680446225133,29.45700875306806,82.38786193488404,12.365607710025621,3105.199051837594,Medium,8878,8.171091914487546,6.441292349440976,0.508701759779375,4060.9071093732723
Monaragala,Uva,Dry,Yala,2.239256942936159,Hybrid_A,Loam,Tank,1101.3884658944562,29.89450133159162,69.82143877739777,81.29188352849383,2800.772570726177,None,9671,7.727741596734912,6.252552034031004,1.6255242928074896,4008.8965274526463
Ampara,Eastern,Dry,Yala,1.5744212092995689,Hybrid_A,Sandy,Rainfed,723.4990007712438,29.30645714600079,75.42430514088723,111.49608982663167,2833.3226813893725,Low,9031,8.418109492657216,5.536552953115431,1.881440287185548,3376.4035637096226
Anuradhapura,North Central,Dry,Maha,4.240080006861022,OPV_Local,Loam,Tank,1351.4210191933046,30.402319639224128,77.74619168225829,49.99347599451575,3409.173610593162,Low,7538,9.145542803180298,7.38570503161449,1.206624572408518,4300.0
Anuradhapura,North Central,Dry,Maha,0.8908114719602003,Hybrid_B,Loam,Rainfed,1204.19033473974,28.396690918919436,82.29960643010523,52.76842756860279,2684.734163193616,Low,9532,7.1460492519226495,6.502356970571858,2.8149999279976994,3832.916822602095
Anuradhapura,North Central,Dry,Yala,2.0754021656056887,OPV_Local,Sandy,Tank,1014.8271444357175,29.856381607879822,74.50295710207526,77.62186060893346,2534.3896169370337,Low,9009,8.822379720628549,6.078541861888135,3.2060421578013294,3639.1161742497343
Badulla,Uva,Intermediate,Maha,2.8152073227821055,Hybrid_B,Loam,Tank,1390.8118039260296,28.78647219199339,89.38075789592368,64.60146144793686,2443.4308109698545,Medium,7999,7.602608686538018,6.365304230763654,2.1388063823716505,4285.971736857405
Ampara,Eastern,Dry,Maha,2.6858240865842227,Hybrid_B,Sandy,Tank,864.4036504265553,30.07896689829182,71.6592232880449,85.70801087002603,2958.759802320889,Medium,8734,7.5685269101247545,5.718318748891361,1.587439533553085,3625.778583029237
